Input Start Date,Input End Date,Start Date,End Date,Model Result,Model Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2023-05-08 00:00:00,2024-05-07 00:00:00,2023-05-09 00:00:00,2024-05-07 00:00:00,85.98,2.743112,27.67,2.191854,58.31
2022-01-04 00:00:00,2023-01-04 00:00:00,2022-01-05 00:00:00,2023-01-04 00:00:00,-20.79,-0.517289,-16.74,-0.641057,-4.05
2023-01-13 00:00:00,2024-01-13 00:00:00,2023-01-17 00:00:00,2024-01-12 00:00:00,71.88,2.400997,21.66,1.604927,50.22
2022-07-04 00:00:00,2023-07-04 00:00:00,2022-07-06 00:00:00,2023-07-03 00:00:00,81.33,2.026209,17.69,0.944468,63.64
2022-10-17 00:00:00,2023-10-17 00:00:00,2022-10-18 00:00:00,2023-10-17 00:00:00,75.23,2.042753,19.33,1.205465,55.9
2021-08-31 00:00:00,2022-08-31 00:00:00,2021-09-01 00:00:00,2022-08-31 00:00:00,-14.58,-0.344206,-11.29,-0.464046,-3.29
2022-10-18 00:00:00,2023-10-18 00:00:00,2022-10-19 00:00:00,2023-10-18 00:00:00,67.49,1.889392,18.58,1.162487,48.91
2022-02-24 00:00:00,2023-02-24 00:00:00,2022-02-25 00:00:00,2023-02-24 00:00:00,2.68,0.253092,-7.98,-0.233447,10.66
2021-10-11 00:00:00,2022-10-11 00:00:00,2021-10-12 00:00:00,2022-10-11 00:00:00,-20.57,-0.564316,-16.25,-0.682452,-4.32
2023-02-27 00:00:00,2024-02-27 00:00:00,2023-02-28 00:00:00,2024-02-27 00:00:00,87.89,2.922743,29.87,2.198363,58.02
2024-06-29 00:00:00,2025-06-29 00:00:00,2024-07-02 00:00:00,2025-06-27 00:00:00,88.81,1.9954,-1.42,-1.547747,90.23
2022-12-11 00:00:00,2023-12-11 00:00:00,2022-12-13 00:00:00,2023-12-11 00:00:00,60.87,2.065427,16.74,1.219275,44.13
2022-07-26 00:00:00,2023-07-26 00:00:00,2022-07-27 00:00:00,2023-07-26 00:00:00,70.53,1.889485,15.44,0.86304,55.09
2022-10-11 00:00:00,2023-10-11 00:00:00,2022-10-12 00:00:00,2023-10-11 00:00:00,82.56,2.154149,24.3,1.420905,58.26
2023-11-13 00:00:00,2024-11-12 00:00:00,2023-11-14 00:00:00,2024-11-12 00:00:00,121.21,2.911158,21.87,2.777356,99.34
2023-10-21 00:00:00,2024-10-20 00:00:00,2023-10-24 00:00:00,2024-10-18 00:00:00,110.22,2.899615,29.09,3.111778,81.13
2024-04-17 00:00:00,2025-04-17 00:00:00,2024-04-18 00:00:00,2025-04-17 00:00:00,59.6,1.464217,8.7,2.978806,50.9
2023-09-22 00:00:00,2024-09-21 00:00:00,2023-09-25 00:00:00,2024-09-20 00:00:00,90.89,2.556512,26.52,2.54325,64.37
2024-05-01 00:00:00,2025-05-01 00:00:00,2024-05-02 00:00:00,2025-05-01 00:00:00,76.64,1.751696,7.51,3.223598,69.13
2022-04-28 00:00:00,2023-04-28 00:00:00,2022-04-29 00:00:00,2023-04-28 00:00:00,29.94,0.933134,2.66,0.229857,27.28
2022-04-19 00:00:00,2023-04-19 00:00:00,2022-04-20 00:00:00,2023-04-19 00:00:00,20.55,0.728589,-5.3,-0.120691,25.85
2021-09-28 00:00:00,2022-09-28 00:00:00,2021-09-29 00:00:00,2022-09-28 00:00:00,-16.12,-0.400091,-13.42,-0.553888,-2.7
2022-04-19 00:00:00,2023-04-19 00:00:00,2022-04-20 00:00:00,2023-04-19 00:00:00,20.55,0.728589,-5.3,-0.120691,25.85
2021-11-24 00:00:00,2022-11-24 00:00:00,2021-11-26 00:00:00,2022-11-23 00:00:00,-19.96,-0.53529,-10.99,-0.366717,-8.97
2023-10-25 00:00:00,2024-10-24 00:00:00,2023-10-26 00:00:00,2024-10-24 00:00:00,117.36,3.002629,32.56,3.52705,84.8
2021-09-06 00:00:00,2022-09-06 00:00:00,2021-09-08 00:00:00,2022-09-06 00:00:00,-15.63,-0.383974,-12.11,-0.508309,-3.52
2022-03-01 00:00:00,2023-03-01 00:00:00,2022-03-02 00:00:00,2023-03-01 00:00:00,1.9,0.231416,-8.39,-0.254716,10.29
2024-07-01 00:00:00,2025-07-01 00:00:00,2024-07-02 00:00:00,2025-07-01 00:00:00,98.76,2.120711,-1.42,-1.547747,100.18
2022-11-02 00:00:00,2023-11-02 00:00:00,2022-11-03 00:00:00,2023-11-02 00:00:00,58.07,1.725652,17.93,1.151669,40.14
2023-07-28 00:00:00,2024-07-27 00:00:00,2023-07-31 00:00:00,2024-07-26 00:00:00,57.43,2.115389,19.88,1.659073,37.55
2021-08-17 00:00:00,2022-08-17 00:00:00,2021-08-18 00:00:00,2022-08-17 00:00:00,-6.73,-0.061985,-1.47,0.031116,-5.26
2023-12-09 00:00:00,2024-12-08 00:00:00,2023-12-12 00:00:00,2024-12-06 00:00:00,120.42,2.982083,17.83,2.490339,102.59
2022-12-23 00:00:00,2023-12-23 00:00:00,2022-12-27 00:00:00,2023-12-22 00:00:00,92.99,2.818987,26.07,1.832996,66.92
2024-03-02 00:00:00,2025-03-02 00:00:00,2024-03-05 00:00:00,2025-02-28 00:00:00,82.61,2.263064,7.39,1.750534,75.22
2022-10-13 00:00:00,2023-10-13 00:00:00,2022-10-14 00:00:00,2023-10-13 00:00:00,83.49,2.197481,22.55,1.35978,60.94
2023-07-03 00:00:00,2024-07-02 00:00:00,2023-07-05 00:00:00,2024-07-02 00:00:00,78.92,2.671578,25.63,2.121277,53.29
2021-12-23 00:00:00,2022-12-23 00:00:00,2021-12-27 00:00:00,2022-12-23 00:00:00,-25.34,-0.70201,-18.47,-0.728465,-6.87
2023-01-10 00:00:00,2024-01-10 00:00:00,2023-01-11 00:00:00,2024-01-10 00:00:00,79.76,2.561131,22.32,1.64321,57.44
2021-09-09 00:00:00,2022-09-09 00:00:00,2021-09-10 00:00:00,2022-09-09 00:00:00,-15.24,-0.366324,-7.42,-0.257705,-7.82
2022-11-20 00:00:00,2023-11-20 00:00:00,2022-11-22 00:00:00,2023-11-20 00:00:00,65.71,2.073099,15.38,1.081452,50.33
2023-12-25 00:00:00,2024-12-24 00:00:00,2023-12-27 00:00:00,2024-12-24 00:00:00,107.28,2.717131,14.3,2.18276,92.98
2022-04-24 00:00:00,2023-04-24 00:00:00,2022-04-26 00:00:00,2023-04-24 00:00:00,29.72,0.926267,0.85,0.151176,28.87
2021-08-09 00:00:00,2022-08-09 00:00:00,2021-08-10 00:00:00,2022-08-09 00:00:00,-8.23,-0.120928,-5.76,-0.187803,-2.47
2022-11-11 00:00:00,2023-11-11 00:00:00,2022-11-14 00:00:00,2023-11-10 00:00:00,60.69,1.93948,13.27,0.952273,47.42
2023-12-08 00:00:00,2024-12-07 00:00:00,2023-12-11 00:00:00,2024-12-06 00:00:00,121.9,3.010137,18.37,2.547759,103.53
2022-01-19 00:00:00,2023-01-19 00:00:00,2022-01-20 00:00:00,2023-01-19 00:00:00,-8.47,-0.072397,-11.6,-0.389663,3.13
2022-09-27 00:00:00,2023-09-27 00:00:00,2022-09-28 00:00:00,2023-09-27 00:00:00,65.02,1.795822,16.79,0.992789,48.23
2023-03-21 00:00:00,2024-03-20 00:00:00,2023-03-22 00:00:00,2024-03-20 00:00:00,97.28,3.245639,34.66,2.653604,62.62
2023-09-19 00:00:00,2024-09-18 00:00:00,2023-09-20 00:00:00,2024-09-18 00:00:00,86.42,2.486569,24.67,2.336747,61.75
2023-07-19 00:00:00,2024-07-18 00:00:00,2023-07-20 00:00:00,2024-07-18 00:00:00,67.39,2.430285,23.93,1.980602,43.46
2021-11-01 00:00:00,2022-11-01 00:00:00,2021-11-02 00:00:00,2022-11-01 00:00:00,-19.07,-0.510714,-15.49,-0.615026,-3.58
2021-08-12 00:00:00,2022-08-12 00:00:00,2021-08-13 00:00:00,2022-08-12 00:00:00,-9.91,-0.174277,-2.86,-0.037504,-7.05
2022-06-16 00:00:00,2023-06-16 00:00:00,2022-06-17 00:00:00,2023-06-16 00:00:00,86.49,2.074828,22.08,1.109976,64.41
2022-07-08 00:00:00,2023-07-08 00:00:00,2022-07-11 00:00:00,2023-07-07 00:00:00,84.91,2.123118,16.0,0.871732,68.91
2023-02-12 00:00:00,2024-02-12 00:00:00,2023-02-14 00:00:00,2024-02-12 00:00:00,71.31,2.563806,23.25,1.77092,48.06
2022-06-22 00:00:00,2023-06-22 00:00:00,2022-06-23 00:00:00,2023-06-22 00:00:00,76.09,1.91781,17.35,0.915073,58.74
2024-02-21 00:00:00,2025-02-20 00:00:00,2024-02-22 00:00:00,2025-02-20 00:00:00,112.23,2.713543,7.32,1.631213,104.91
2022-08-18 00:00:00,2023-08-18 00:00:00,2022-08-19 00:00:00,2023-08-18 00:00:00,49.76,1.502969,5.09,0.361599,44.67
2023-03-09 00:00:00,2024-03-08 00:00:00,2023-03-10 00:00:00,2024-03-08 00:00:00,109.36,3.429217,34.62,2.56061,74.74
2023-07-04 00:00:00,2024-07-03 00:00:00,2023-07-06 00:00:00,2024-07-03 00:00:00,79.87,2.698918,27.18,2.23849,52.69
2023-11-04 00:00:00,2024-11-03 00:00:00,2023-11-07 00:00:00,2024-11-01 00:00:00,91.78,2.511694,25.16,2.985632,66.62
2022-12-25 00:00:00,2023-12-25 00:00:00,2022-12-28 00:00:00,2023-12-22 00:00:00,97.2,2.883621,27.66,1.941697,69.54
2021-12-04 00:00:00,2022-12-04 00:00:00,2021-12-07 00:00:00,2022-12-02 00:00:00,-22.35,-0.60566,-11.79,-0.406724,-10.56
2021-11-30 00:00:00,2022-11-30 00:00:00,2021-12-01 00:00:00,2022-11-30 00:00:00,-21.13,-0.577525,-8.14,-0.231632,-12.99
2024-04-05 00:00:00,2025-04-05 00:00:00,2024-04-08 00:00:00,2025-04-04 00:00:00,42.14,1.238334,4.68,1.435227,37.46
2023-08-09 00:00:00,2024-08-08 00:00:00,2023-08-10 00:00:00,2024-08-08 00:00:00,59.67,1.979014,23.07,1.952445,36.6
2023-01-24 00:00:00,2024-01-24 00:00:00,2023-01-25 00:00:00,2024-01-24 00:00:00,67.2,2.378338,23.08,1.71862,44.12
2024-02-20 00:00:00,2025-02-19 00:00:00,2024-02-21 00:00:00,2025-02-19 00:00:00,121.96,2.866176,9.54,2.001873,112.42
2022-06-11 00:00:00,2023-06-11 00:00:00,2022-06-14 00:00:00,2023-06-09 00:00:00,78.8,1.957007,16.93,0.885948,61.87
2024-02-19 00:00:00,2025-02-18 00:00:00,2024-02-21 00:00:00,2025-02-18 00:00:00,129.57,3.008204,9.54,2.001873,120.03
2022-12-25 00:00:00,2023-12-25 00:00:00,2022-12-28 00:00:00,2023-12-22 00:00:00,97.2,2.883621,27.66,1.941697,69.54
2023-07-13 00:00:00,2024-07-12 00:00:00,2023-07-14 00:00:00,2024-07-12 00:00:00,69.66,2.477353,26.39,2.174691,43.27
2022-09-22 00:00:00,2023-09-22 00:00:00,2022-09-23 00:00:00,2023-09-22 00:00:00,70.19,1.89664,18.82,1.089658,51.37
2023-03-19 00:00:00,2024-03-18 00:00:00,2023-03-21 00:00:00,2024-03-18 00:00:00,93.54,3.145382,30.43,2.358731,63.11
2022-01-05 00:00:00,2023-01-05 00:00:00,2022-01-06 00:00:00,2023-01-05 00:00:00,-18.82,-0.429266,-17.61,-0.68395,-1.21
2023-04-05 00:00:00,2024-04-04 00:00:00,2023-04-06 00:00:00,2024-04-04 00:00:00,88.2,3.062324,27.2,2.172787,61.0
2022-11-07 00:00:00,2023-11-07 00:00:00,2022-11-08 00:00:00,2023-11-07 00:00:00,72.25,2.047381,16.18,1.058117,56.07
2022-11-16 00:00:00,2023-11-16 00:00:00,2022-11-17 00:00:00,2023-11-16 00:00:00,63.31,2.015432,16.0,1.113413,47.31
2021-11-08 00:00:00,2022-11-08 00:00:00,2021-11-09 00:00:00,2022-11-08 00:00:00,-22.45,-0.669538,-17.03,-0.686446,-5.42
2023-10-10 00:00:00,2024-10-09 00:00:00,2023-10-11 00:00:00,2024-10-09 00:00:00,99.47,2.737904,25.34,2.599721,74.13
2022-08-10 00:00:00,2023-08-10 00:00:00,2022-08-11 00:00:00,2023-08-10 00:00:00,51.39,1.541488,7.91,0.503785,43.48
2023-01-21 00:00:00,2024-01-21 00:00:00,2023-01-24 00:00:00,2024-01-19 00:00:00,65.48,2.338747,22.38,1.679816,43.1
2022-01-15 00:00:00,2023-01-15 00:00:00,2022-01-19 00:00:00,2023-01-13 00:00:00,-9.74,-0.114509,-10.36,-0.334152,0.62
2021-11-23 00:00:00,2022-11-23 00:00:00,2021-11-24 00:00:00,2022-11-23 00:00:00,-21.7,-0.599871,-12.98,-0.457152,-8.72
2022-04-04 00:00:00,2023-04-04 00:00:00,2022-04-05 00:00:00,2023-04-04 00:00:00,2.73,0.249933,-7.86,-0.236467,10.59
2024-06-21 00:00:00,2025-06-21 00:00:00,2024-06-24 00:00:00,2025-06-20 00:00:00,88.7,1.98966,-0.28,-0.197899,88.98
2023-08-29 00:00:00,2024-08-28 00:00:00,2023-08-30 00:00:00,2024-08-28 00:00:00,72.33,2.28626,21.68,1.976472,50.65
2022-06-04 00:00:00,2023-06-04 00:00:00,2022-06-07 00:00:00,2023-06-02 00:00:00,54.78,1.527507,4.67,0.325521,50.11
2022-03-12 00:00:00,2023-03-12 00:00:00,2022-03-15 00:00:00,2023-03-10 00:00:00,0.96,0.209032,-7.98,-0.242328,8.94
2023-11-17 00:00:00,2024-11-16 00:00:00,2023-11-20 00:00:00,2024-11-15 00:00:00,119.09,2.846716,20.39,2.646524,98.7
2024-01-25 00:00:00,2025-01-24 00:00:00,2024-01-26 00:00:00,2025-01-24 00:00:00,130.05,2.964899,11.75,2.058771,118.3
2023-12-24 00:00:00,2024-12-23 00:00:00,2023-12-27 00:00:00,2024-12-23 00:00:00,106.37,2.707056,14.3,2.18276,92.07
2022-07-21 00:00:00,2023-07-21 00:00:00,2022-07-22 00:00:00,2023-07-21 00:00:00,72.71,1.942646,16.32,0.895997,56.39
2022-08-15 00:00:00,2023-08-15 00:00:00,2022-08-16 00:00:00,2023-08-15 00:00:00,47.19,1.446845,4.75,0.343856,42.44
2021-12-11 00:00:00,2022-12-11 00:00:00,2021-12-14 00:00:00,2022-12-09 00:00:00,-17.91,-0.423074,-13.84,-0.503039,-4.07
2021-12-04 00:00:00,2022-12-04 00:00:00,2021-12-07 00:00:00,2022-12-02 00:00:00,-22.35,-0.60566,-11.79,-0.406724,-10.56
2021-08-13 00:00:00,2022-08-13 00:00:00,2021-08-16 00:00:00,2022-08-12 00:00:00,-6.01,-0.040215,-3.09,-0.049035,-2.92
2021-12-16 00:00:00,2022-12-16 00:00:00,2021-12-17 00:00:00,2022-12-16 00:00:00,-20.69,-0.514132,-15.3,-0.568336,-5.39
2021-11-19 00:00:00,2022-11-19 00:00:00,2021-11-22 00:00:00,2022-11-18 00:00:00,-20.15,-0.547678,-14.02,-0.509598,-6.13
2024-02-14 00:00:00,2025-02-13 00:00:00,2024-02-15 00:00:00,2025-02-13 00:00:00,110.15,2.737259,8.5,1.760176,101.65
2022-02-12 00:00:00,2023-02-12 00:00:00,2022-02-15 00:00:00,2023-02-10 00:00:00,-2.75,0.095742,-7.05,-0.188613,4.3
2022-01-09 00:00:00,2023-01-09 00:00:00,2022-01-11 00:00:00,2023-01-09 00:00:00,-19.27,-0.441874,-16.09,-0.606125,-3.18
2024-07-02 00:00:00,2025-07-02 00:00:00,2024-07-03 00:00:00,2025-07-02 00:00:00,94.0,2.04159,-1.86,-2.147738,95.86
2022-02-14 00:00:00,2023-02-14 00:00:00,2022-02-15 00:00:00,2023-02-14 00:00:00,-1.55,0.131082,-6.0,-0.140254,4.45
2023-12-29 00:00:00,2024-12-28 00:00:00,2024-01-02 00:00:00,2024-12-27 00:00:00,116.33,2.869206,15.24,2.346343,101.09
2023-03-05 00:00:00,2024-03-04 00:00:00,2023-03-07 00:00:00,2024-03-04 00:00:00,98.0,3.168166,30.59,2.282158,67.41
2024-03-29 00:00:00,2025-03-29 00:00:00,2024-04-02 00:00:00,2025-03-28 00:00:00,57.9,1.625409,4.65,1.348509,53.25
2023-03-23 00:00:00,2024-03-22 00:00:00,2023-03-24 00:00:00,2024-03-22 00:00:00,97.2,3.245068,33.61,2.586767,63.59
2024-01-15 00:00:00,2025-01-14 00:00:00,2024-01-17 00:00:00,2025-01-14 00:00:00,112.07,2.761908,15.32,2.513708,96.75
2023-05-13 00:00:00,2024-05-12 00:00:00,2023-05-16 00:00:00,2024-05-10 00:00:00,84.14,2.717801,28.8,2.283398,55.34
2022-06-26 00:00:00,2023-06-26 00:00:00,2022-06-28 00:00:00,2023-06-26 00:00:00,72.92,1.912502,15.19,0.833399,57.73
2024-05-14 00:00:00,2025-05-14 00:00:00,2024-05-15 00:00:00,2025-05-14 00:00:00,90.22,1.950782,2.49,1.337222,87.73
2022-05-16 00:00:00,2023-05-16 00:00:00,2022-05-17 00:00:00,2023-05-16 00:00:00,34.45,1.073077,2.17,0.207934,32.28
2022-12-01 00:00:00,2023-12-01 00:00:00,2022-12-02 00:00:00,2023-12-01 00:00:00,55.0,1.896031,14.6,1.059404,40.4
2023-03-20 00:00:00,2024-03-19 00:00:00,2023-03-21 00:00:00,2024-03-19 00:00:00,95.09,3.17482,31.15,2.400263,63.94
2024-01-25 00:00:00,2025-01-24 00:00:00,2024-01-26 00:00:00,2025-01-24 00:00:00,130.05,2.964899,11.75,2.058771,118.3
2023-06-21 00:00:00,2024-06-20 00:00:00,2023-06-22 00:00:00,2024-06-20 00:00:00,89.36,2.969907,26.66,2.175072,62.7
2024-04-06 00:00:00,2025-04-06 00:00:00,2024-04-09 00:00:00,2025-04-04 00:00:00,43.18,1.266092,4.56,1.409803,38.62
2022-03-24 00:00:00,2023-03-24 00:00:00,2022-03-25 00:00:00,2023-03-24 00:00:00,-4.11,0.048609,-11.1,-0.389683,6.99
2024-05-29 00:00:00,2025-05-29 00:00:00,2024-05-30 00:00:00,2025-05-29 00:00:00,78.07,1.823312,3.9,2.455788,74.17
2023-04-11 00:00:00,2024-04-10 00:00:00,2023-04-12 00:00:00,2024-04-10 00:00:00,85.1,2.962532,27.82,2.196238,57.28
2022-02-23 00:00:00,2023-02-23 00:00:00,2022-02-24 00:00:00,2023-02-23 00:00:00,1.42,0.219423,-4.94,-0.094492,6.36
2023-07-29 00:00:00,2024-07-28 00:00:00,2023-08-01 00:00:00,2024-07-26 00:00:00,57.82,2.13098,20.22,1.688598,37.6
2021-08-07 00:00:00,2022-08-07 00:00:00,2021-08-10 00:00:00,2022-08-05 00:00:00,-7.22,-0.086208,-5.27,-0.163355,-1.95
2021-12-09 00:00:00,2022-12-09 00:00:00,2021-12-10 00:00:00,2022-12-09 00:00:00,-19.2,-0.483695,-15.19,-0.566127,-4.01
2022-05-20 00:00:00,2023-05-20 00:00:00,2022-05-23 00:00:00,2023-05-19 00:00:00,44.02,1.286738,7.25,0.439334,36.77
2024-07-21 00:00:00,2025-07-21 00:00:00,2024-07-23 00:00:00,2025-07-21 00:00:00,111.61,2.347296,-2.27,nan,113.88
2021-08-07 00:00:00,2022-08-07 00:00:00,2021-08-10 00:00:00,2022-08-05 00:00:00,-7.22,-0.086208,-5.27,-0.163355,-1.95
2022-10-09 00:00:00,2023-10-09 00:00:00,2022-10-11 00:00:00,2023-10-09 00:00:00,84.61,2.197016,22.74,1.346289,61.87
2022-08-12 00:00:00,2023-08-12 00:00:00,2022-08-15 00:00:00,2023-08-11 00:00:00,43.35,1.362875,5.61,0.389343,37.74
2022-04-20 00:00:00,2023-04-20 00:00:00,2022-04-21 00:00:00,2023-04-20 00:00:00,24.62,0.814592,-4.38,-0.079584,29.0
2023-08-31 00:00:00,2024-08-30 00:00:00,2023-09-01 00:00:00,2024-08-30 00:00:00,65.57,2.111288,21.63,1.981885,43.94
2022-08-07 00:00:00,2023-08-07 00:00:00,2022-08-09 00:00:00,2023-08-07 00:00:00,60.88,1.743232,11.36,0.672845,49.52
2023-08-09 00:00:00,2024-08-08 00:00:00,2023-08-10 00:00:00,2024-08-08 00:00:00,59.67,1.979014,23.07,1.952445,36.6
2022-11-14 00:00:00,2023-11-14 00:00:00,2022-11-15 00:00:00,2023-11-14 00:00:00,55.41,1.821883,14.38,1.013006,41.03
2022-12-22 00:00:00,2023-12-22 00:00:00,2022-12-23 00:00:00,2023-12-22 00:00:00,87.51,2.682278,25.58,1.7981,61.93
